# Copyright (C) 2025  Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus Prime License Agreement,
# the Altera IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Altera and sold by Altera or its authorized distributors.  Please
# refer to the Altera Software License Subscription Agreements 
# on the Quartus Prime software download page.

# Quartus Prime Version 25.1std.0 Build 1129 10/21/2025 SC Lite Edition
# File: C:\Users\tales\Downloads\Workspace\Unicycle-MIPS-Based-Computer-System\Pins\MIPS-physical.csv
# Generated on: Thu Dec 18 08:37:01 2025

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
hex_7[6],Output,PIN_AA14,3,B3_N0,PIN_AA14,2.5 V,,,,,
hex_6[0],Output,PIN_AA17,4,B4_N1,PIN_AA17,2.5 V,,,,,
hex_6[1],Output,PIN_AB16,4,B4_N2,PIN_AB16,2.5 V,,,,,
hex_6[2],Output,PIN_AA16,4,B4_N2,PIN_AA16,2.5 V,,,,,
hex_6[3],Output,PIN_AB17,4,B4_N1,PIN_AB17,2.5 V,,,,,
hex_6[4],Output,PIN_AB15,4,B4_N2,PIN_AB15,2.5 V,,,,,
hex_6[5],Output,PIN_AA15,4,B4_N2,PIN_AA15,2.5 V,,,,,
hex_6[6],Output,PIN_AC17,4,B4_N2,PIN_AC17,2.5 V,,,,,
hex_5[0],Output,PIN_AD18,4,B4_N1,PIN_AD18,2.5 V,,,,,
hex_5[1],Output,PIN_AC18,4,B4_N1,PIN_AC18,2.5 V,,,,,
hex_5[2],Output,PIN_AB18,4,B4_N0,PIN_AB18,2.5 V,,,,,
hex_5[3],Output,PIN_AH19,4,B4_N2,PIN_AH19,2.5 V,,,,,
hex_5[4],Output,PIN_AG19,4,B4_N2,PIN_AG19,2.5 V,,,,,
hex_5[5],Output,PIN_AF18,4,B4_N1,PIN_AF18,2.5 V,,,,,
hex_5[6],Output,PIN_AH18,4,B4_N2,PIN_AH18,2.5 V,,,,,
hex_4[0],Output,PIN_AB19,4,B4_N0,PIN_AB19,2.5 V,,,,,
hex_4[1],Output,PIN_AA19,4,B4_N0,PIN_AA19,2.5 V,,,,,
hex_4[2],Output,PIN_AG21,4,B4_N2,PIN_AG21,2.5 V,,,,,
hex_4[3],Output,PIN_AH21,4,B4_N2,PIN_AH21,2.5 V,,,,,
hex_4[4],Output,PIN_AE19,4,B4_N1,PIN_AE19,2.5 V,,,,,
hex_4[5],Output,PIN_AF19,4,B4_N1,PIN_AF19,2.5 V,,,,,
hex_4[6],Output,PIN_AE18,4,B4_N2,PIN_AE18,2.5 V,,,,,
hex_3[0],Output,PIN_V21,5,B5_N1,PIN_V21,2.5 V,,,,,
hex_3[1],Output,PIN_U21,5,B5_N0,PIN_U21,2.5 V,,,,,
hex_3[2],Output,PIN_AB20,4,B4_N0,PIN_AB20,2.5 V,,,,,
hex_3[3],Output,PIN_AA21,4,B4_N0,PIN_AA21,2.5 V,,,,,
hex_3[4],Output,PIN_AD24,4,B4_N0,PIN_AD24,2.5 V,,,,,
hex_3[5],Output,PIN_AF23,4,B4_N0,PIN_AF23,2.5 V,,,,,
hex_3[6],Output,PIN_Y19,4,B4_N0,PIN_Y19,2.5 V,,,,,
hex_2[0],Output,PIN_AA25,5,B5_N1,PIN_AA25,2.5 V,,,,,
hex_2[1],Output,PIN_AA26,5,B5_N1,PIN_AA26,2.5 V,,,,,
hex_2[2],Output,PIN_Y25,5,B5_N1,PIN_Y25,2.5 V,,,,,
hex_2[3],Output,PIN_W26,5,B5_N1,PIN_W26,2.5 V,,,,,
hex_2[4],Output,PIN_Y26,5,B5_N1,PIN_Y26,2.5 V,,,,,
hex_2[5],Output,PIN_W27,5,B5_N1,PIN_W27,2.5 V,,,,,
hex_2[6],Output,PIN_W28,5,B5_N1,PIN_W28,2.5 V,,,,,
hex_1[0],Output,PIN_M24,6,B6_N2,PIN_M24,2.5 V,,,,,
hex_1[1],Output,PIN_Y22,5,B5_N0,PIN_Y22,2.5 V,,,,,
hex_1[2],Output,PIN_W21,5,B5_N1,PIN_W21,2.5 V,,,,,
hex_1[3],Output,PIN_W22,5,B5_N0,PIN_W22,2.5 V,,,,,
hex_1[4],Output,PIN_W25,5,B5_N1,PIN_W25,2.5 V,,,,,
hex_1[5],Output,PIN_U23,5,B5_N1,PIN_U23,2.5 V,,,,,
hex_1[6],Output,PIN_U24,5,B5_N0,PIN_U24,2.5 V,,,,,
hex_0[0],Output,PIN_G18,7,B7_N2,PIN_G18,2.5 V,,,,,
hex_0[1],Output,PIN_F22,7,B7_N0,PIN_F22,2.5 V,,,,,
hex_0[2],Output,PIN_E17,7,B7_N2,PIN_E17,2.5 V,,,,,
hex_0[3],Output,PIN_L26,6,B6_N1,PIN_L26,2.5 V,,,,,
hex_0[4],Output,PIN_L25,6,B6_N1,PIN_L25,2.5 V,,,,,
hex_0[5],Output,PIN_J22,6,B6_N0,PIN_J22,2.5 V,,,,,
hex_0[6],Output,PIN_H22,6,B6_N0,PIN_H22,2.5 V,,,,,
